field1,Año,Mes,CCAA,Producto,GASTO X CAPITA,PENETRACION (%),PRECIO MEDIO kg ó litros,score
52,2018,1,Cataluña,PATATAS FRESCAS,1.49,79.47,0.72,0.5944
53,2018,1,Cataluña,PATATAS CONGELADAS,0.12,11.86,1.32,0.5227
55,2018,1,Cataluña,PATATAS FRITAS,0.0,0.0,0.0,0.55984
57,2018,1,Cataluña,TOMATES,2.18,84.06,1.94,0.61592
58,2018,1,Cataluña,CEBOLLAS,0.83,78.89,1.1,0.57842
59,2018,1,Cataluña,AJOS,0.25,34.17,4.31,0.55844
60,2018,1,Cataluña,COLES,0.2,28.11,1.04,0.53048
61,2018,1,Cataluña,PEPINOS,0.15,22.68,1.57,0.51858
62,2018,1,Cataluña,JUDIAS VERDES,0.87,43.86,3.55,0.55462
63,2018,1,Cataluña,PIMIENTOS,0.71,60.54,1.93,0.53971
64,2018,1,Cataluña,CHAMPIÑONES+O.SETAS,0.53,41.74,3.47,0.54005
65,2018,1,Cataluña,LECHUGA/ESC./ENDIVIA,1.05,65.93,2.84,0.56475
66,2018,1,Cataluña,ESPARRAGOS,0.13,9.53,2.13,0.52586
68,2018,1,Cataluña,BERENJENAS,0.25,41.14,1.82,0.52107
69,2018,1,Cataluña,ZANAHORIAS,0.29,56.51,0.92,0.54877
70,2018,1,Cataluña,CALABACINES,0.57,50.93,1.53,0.52663
72,2018,1,Cataluña,BROCOLI,0.26,34.88,1.19,0.52685
73,2018,1,Cataluña,ALCACHOFAS,0.72,46.45,1.98,0.52586
74,2018,1,Cataluña,APIO,0.0,0.0,0.0,0.55972
75,2018,1,Cataluña,COLIFLOR,0.0,0.0,0.0,0.55925
77,2018,1,Cataluña,PUERRO,0.0,0.0,0.0,0.55925
79,2018,1,Cataluña,NARANJAS,2.29,65.78,1.01,0.59924
80,2018,1,Cataluña,MANDARINAS,1.94,69.02,1.45,0.5835
81,2018,1,Cataluña,LIMONES,0.31,35.22,1.58,0.51815
82,2018,1,Cataluña,PLATANOS,1.98,83.67,1.55,0.60274
83,2018,1,Cataluña,MANZANAS,1.42,66.77,1.45,0.55728
84,2018,1,Cataluña,PERAS,0.74,48.37,1.5,0.52368
85,2018,1,Cataluña,MELOCOTONES,0.01,0.44,2.35,0.5414
86,2018,1,Cataluña,NECTARINAS,0.01,1.64,1.76,0.53036
87,2018,1,Cataluña,ALBARICOQUES,0.01,0.91,2.35,0.5396
88,2018,1,Cataluña,FRESAS/FRESON,0.68,34.24,3.69,0.54343
89,2018,1,Cataluña,MELON,0.28,10.1,1.73,0.52608
90,2018,1,Cataluña,SANDIA,0.0,0.19,0.69,0.56311
91,2018,1,Cataluña,CIRUELAS,0.01,1.48,2.15,0.5358
93,2018,1,Cataluña,UVAS,0.35,22.51,3.19,0.53613
94,2018,1,Cataluña,KIWI,0.69,38.22,2.89,0.53446
95,2018,1,Cataluña,AGUACATE,0.32,22.84,3.24,0.53413
96,2018,1,Cataluña,PIÑA,0.36,26.6,1.55,0.52205
97,2018,1,Cataluña,OTRAS FRUTAS FRESCAS,0.7,36.63,2.15,0.52772
98,2018,1,Cataluña,POMELO,0.05,3.0,1.58,0.52477
