Año,Mes,CCAA,Producto,CONSUMO X CAPITA,GASTO X CAPITA,PENETRACION (%),PRECIO MEDIO kg ó litros,VALOR (Miles Euros),VOLUMEN (Miles kg ó litros)
2018,Enero,Total Nacional,TOTAL PATATAS,2.38,1.85,79.39,0.78,84640.08,108430.72
2018,Enero,Total Nacional,PATATAS FRESCAS,1.74,1.20,68.46,0.69,54688.29,79445.66
2018,Enero,Total Nacional,PATATAS CONGELADAS,0.09,0.11,12.06,1.21,4857.79,3999.90
2018,Enero,Total Nacional,PATATAS PROCESADAS,0.11,0.55,45.94,5.02,25094.00,4997.03
2018,Enero,Total Nacional,PATATAS FRITAS,,,0.00,,0.00,0.00
2018,Enero,Total Nacional,T.HORTALIZAS FRESCAS,4.60,8.25,97.27,1.79,376688.56,209957.24
2018,Enero,Total Nacional,TOMATES,0.88,1.48,77.90,1.69,67517.73,39934.35
2018,Enero,Total Nacional,CEBOLLAS,0.57,0.58,69.77,1.01,26254.86,25922.07
2018,Enero,Total Nacional,AJOS,0.06,0.24,34.75,4.17,10736.54,2572.64
2018,Enero,Total Nacional,COLES,0.15,0.17,23.93,1.08,7624.86,7041.12
2018,Enero,Total Nacional,PEPINOS,0.09,0.14,22.20,1.53,6335.35,4143.06
2018,Enero,Total Nacional,JUDIAS VERDES,0.15,0.45,33.73,2.89,20346.43,7030.04
2018,Enero,Total Nacional,PIMIENTOS,0.34,0.63,61.36,1.86,28593.29,15385.94
2018,Enero,Total Nacional,CHAMPIÑONES+O.SETAS,0.13,0.46,41.30,3.64,20953.66,5755.65
2018,Enero,Total Nacional,LECHUGA/ESC./ENDIVIA,0.26,0.74,58.40,2.80,33668.40,12038.11
2018,Enero,Total Nacional,ESPARRAGOS,0.04,0.10,7.72,2.84,4690.18,1652.94
2018,Enero,Total Nacional,VERDURAS DE HOJA,0.11,0.27,27.23,2.47,12175.73,4933.06
2018,Enero,Total Nacional,BERENJENAS,0.10,0.17,27.33,1.75,7675.76,4383.37
2018,Enero,Total Nacional,ZANAHORIAS,0.30,0.25,57.48,0.84,11335.57,13553.18
2018,Enero,Total Nacional,CALABACINES,0.34,0.49,52.47,1.42,22163.40,15570.60
2018,Enero,Total Nacional,OTR.HORTALIZAS/VERD.,1.10,2.12,82.31,1.93,96616.80,50041.09
2018,Enero,Total Nacional,BROCOLI,0.14,0.19,28.53,1.35,8832.66,6535.18
2018,Enero,Total Nacional,ALCACHOFAS,0.19,0.34,26.25,1.82,15419.97,8463.51
2018,Enero,Total Nacional,APIO,,,0.00,,0.00,0.00
2018,Enero,Total Nacional,COLIFLOR,,,0.00,,0.00,0.00
2018,Enero,Total Nacional,VERD./HORT. IV GAMA,0.52,1.37,65.10,2.62,62694.01,23884.50
2018,Enero,Total Nacional,PUERRO,,,0.00,,0.00,0.00
2018,Enero,Total Nacional,T.FRUTAS FRESCAS,7.11,10.33,95.16,1.45,471462.16,324553.06
2018,Enero,Total Nacional,NARANJAS,2.11,1.93,60.45,0.92,88258.06,96414.90
2018,Enero,Total Nacional,MANDARINAS,1.03,1.39,62.46,1.35,63487.81,46857.48
2018,Enero,Total Nacional,LIMONES,0.22,0.33,34.77,1.52,15014.88,9845.93
2018,Enero,Total Nacional,PLATANOS,1.14,1.64,80.36,1.45,74986.61,51819.21
2018,Enero,Total Nacional,MANZANAS,0.86,1.23,65.30,1.42,56157.49,39451.08
2018,Enero,Total Nacional,PERAS,0.45,0.65,48.50,1.45,29642.59,20499.44
2018,Enero,Total Nacional,MELOCOTONES,0.00,0.00,0.34,2.21,190.03,86.10
2018,Enero,Total Nacional,NECTARINAS,0.01,0.03,2.49,1.77,1149.49,651.02
2018,Enero,Total Nacional,ALBARICOQUES,0.00,0.01,0.91,1.83,248.22,135.82
2018,Enero,Total Nacional,FRESAS/FRESON,0.18,0.62,32.92,3.52,28425.57,8068.65
2018,Enero,Total Nacional,MELON,0.13,0.19,9.14,1.55,8844.92,5710.89
2018,Enero,Total Nacional,SANDIA,0.01,0.01,0.54,1.24,330.45,266.36
2018,Enero,Total Nacional,CIRUELAS,0.01,0.02,1.86,2.20,704.48,319.91
2018,Enero,Total Nacional,CEREZAS,0.00,0.02,1.40,5.02,1053.96,209.76
2018,Enero,Total Nacional,UVAS,0.09,0.26,19.03,2.99,11780.84,3934.44
2018,Enero,Total Nacional,KIWI,0.26,0.68,36.68,2.60,30964.88,11896.95
2018,Enero,Total Nacional,AGUACATE,0.10,0.32,23.49,3.35,14662.16,4378.92
2018,Enero,Total Nacional,PIÑA,0.20,0.27,21.83,1.38,12318.00,8911.77
2018,Enero,Total Nacional,OTRAS FRUTAS FRESCAS,0.33,0.73,39.17,2.20,33241.73,15094.43
2018,Enero,Total Nacional,POMELO,0.03,0.04,3.08,1.64,1999.58,1221.08
2018,Enero,Total Nacional,CHIRIMOYA,0.00,0.00,0.00,,0.00,0.00
2018,Enero,Total Nacional,MANGO,,,0.00,,0.00,0.00
2018,Enero,Total Nacional,FRUTAS IV GAMA,0.31,0.50,27.71,1.64,22917.56,13972.33
2018,Enero,Cataluña,TOTAL PATATAS,2.83,2.32,86.85,0.82,16083.99,19590.65
2018,Enero,Cataluña,PATATAS FRESCAS,2.07,1.49,79.47,0.72,10328.30,14309.07
2018,Enero,Cataluña,PATATAS CONGELADAS,0.09,0.12,11.86,1.32,812.53,616.32
2018,Enero,Cataluña,PATATAS PROCESADAS,0.13,0.71,54.73,5.30,4943.15,933.05
2018,Enero,Cataluña,PATATAS FRITAS,,,0.00,,0.00,0.00
2018,Enero,Cataluña,T.HORTALIZAS FRESCAS,5.97,11.35,98.35,1.90,78534.67,41332.10
2018,Enero,Cataluña,TOMATES,1.12,2.18,84.06,1.94,15094.81,7779.26
2018,Enero,Cataluña,CEBOLLAS,0.75,0.83,78.89,1.10,5713.65,5204.71
2018,Enero,Cataluña,AJOS,0.06,0.25,34.17,4.31,1737.14,403.37
2018,Enero,Cataluña,COLES,0.19,0.20,28.11,1.04,1392.88,1333.92
2018,Enero,Cataluña,PEPINOS,0.10,0.15,22.68,1.57,1040.80,661.15
2018,Enero,Cataluña,JUDIAS VERDES,0.25,0.87,43.86,3.55,6013.33,1695.40
2018,Enero,Cataluña,PIMIENTOS,0.37,0.71,60.54,1.93,4930.74,2556.71
2018,Enero,Cataluña,CHAMPIÑONES+O.SETAS,0.15,0.53,41.74,3.47,3700.99,1067.81
2018,Enero,Cataluña,LECHUGA/ESC./ENDIVIA,0.37,1.05,65.93,2.84,7287.17,2561.67
2018,Enero,Cataluña,ESPARRAGOS,0.06,0.13,9.53,2.13,869.51,408.44
2018,Enero,Cataluña,VERDURAS DE HOJA,0.14,0.35,30.21,2.49,2391.02,960.66
2018,Enero,Cataluña,BERENJENAS,0.14,0.25,41.14,1.82,1738.83,956.41
2018,Enero,Cataluña,ZANAHORIAS,0.31,0.29,56.51,0.92,1986.49,2165.80
2018,Enero,Cataluña,CALABACINES,0.37,0.57,50.93,1.53,3975.87,2594.50
2018,Enero,Cataluña,OTR.HORTALIZAS/VERD.,1.59,2.99,88.50,1.88,20661.43,10982.28
2018,Enero,Cataluña,BROCOLI,0.22,0.26,34.88,1.19,1833.26,1544.37
2018,Enero,Cataluña,ALCACHOFAS,0.37,0.72,46.45,1.98,5005.09,2527.17
2018,Enero,Cataluña,APIO,,,0.00,,0.00,0.00
2018,Enero,Cataluña,COLIFLOR,,,0.00,,0.00,0.00
2018,Enero,Cataluña,VERD./HORT. IV GAMA,0.65,1.76,70.94,2.69,12190.38,4523.53
2018,Enero,Cataluña,PUERRO,,,0.00,,0.00,0.00
2018,Enero,Cataluña,T.FRUTAS FRESCAS,7.91,12.11,95.84,1.53,83756.69,54751.08
2018,Enero,Cataluña,NARANJAS,2.26,2.29,65.78,1.01,15872.27,15654.08
2018,Enero,Cataluña,MANDARINAS,1.34,1.94,69.02,1.45,13400.06,9251.31
2018,Enero,Cataluña,LIMONES,0.19,0.31,35.22,1.58,2112.97,1335.55
2018,Enero,Cataluña,PLATANOS,1.27,1.98,83.67,1.55,13674.93,8810.30
2018,Enero,Cataluña,MANZANAS,0.98,1.42,66.77,1.45,9827.36,6799.38
2018,Enero,Cataluña,PERAS,0.49,0.74,48.37,1.50,5108.16,3406.33
2018,Enero,Cataluña,MELOCOTONES,0.00,0.01,0.44,2.35,49.63,21.08
2018,Enero,Cataluña,NECTARINAS,0.01,0.01,1.64,1.76,89.66,51.05
2018,Enero,Cataluña,ALBARICOQUES,0.00,0.01,0.91,2.35,41.46,17.62
2018,Enero,Cataluña,FRESAS/FRESON,0.19,0.68,34.24,3.69,4730.33,1281.91
2018,Enero,Cataluña,MELON,0.16,0.28,10.10,1.73,1906.57,1102.79
2018,Enero,Cataluña,SANDIA,0.00,0.00,0.19,0.69,15.02,21.64
2018,Enero,Cataluña,CIRUELAS,0.00,0.01,1.48,2.15,61.78,28.72
2018,Enero,Cataluña,CEREZAS,0.00,0.02,1.08,9.22,119.02,12.91
2018,Enero,Cataluña,UVAS,0.11,0.35,22.51,3.19,2390.64,750.16
2018,Enero,Cataluña,KIWI,0.24,0.69,38.22,2.89,4768.88,1651.20
2018,Enero,Cataluña,AGUACATE,0.10,0.32,22.84,3.24,2241.74,691.14
2018,Enero,Cataluña,PIÑA,0.23,0.36,26.60,1.55,2519.78,1623.48
2018,Enero,Cataluña,OTRAS FRUTAS FRESCAS,0.32,0.70,36.63,2.15,4826.43,2240.44
2018,Enero,Cataluña,POMELO,0.03,0.05,3.00,1.58,368.66,233.02
2018,Enero,Cataluña,CHIRIMOYA,0.00,0.00,0.00,,0.00,0.00
2018,Enero,Cataluña,MANGO,,,0.00,,0.00,0.00
2018,Enero,Cataluña,FRUTAS IV GAMA,0.38,0.69,33.05,1.81,4754.78,2624.76
2018,Enero,Aragon,TOTAL PATATAS,2.02,1.51,72.65,0.75,1981.31,2646.29
2018,Enero,Aragon,PATATAS FRESCAS,1.58,1.03,63.55,0.65,1357.56,2075.29
2018,Enero,Aragon,PATATAS CONGELADAS,0.05,0.06,9.95,1.20,72.22,60.13
2018,Enero,Aragon,PATATAS PROCESADAS,0.08,0.42,38.73,5.40,551.53,102.17
2018,Enero,Aragon,PATATAS FRITAS,,,0.00,,0.00,0.00
2018,Enero,Aragon,T.HORTALIZAS FRESCAS,5.16,9.40,98.32,1.82,12339.94,6769.46
2018,Enero,Aragon,TOMATES,0.88,1.55,87.79,1.77,2038.50,1151.90
2018,Enero,Aragon,CEBOLLAS,0.59,0.62,73.15,1.05,809.92,771.52
2018,Enero,Aragon,AJOS,0.05,0.19,31.91,4.01,254.52,63.53
2018,Enero,Aragon,COLES,0.11,0.12,22.15,1.05,153.98,146.69
2018,Enero,Aragon,PEPINOS,0.13,0.21,24.84,1.57,275.83,176.04
2018,Enero,Aragon,JUDIAS VERDES,0.22,0.63,36.53,2.92,828.97,284.13
2018,Enero,Aragon,PIMIENTOS,0.33,0.62,55.90,1.90,819.44,432.37
2018,Enero,Aragon,CHAMPIÑONES+O.SETAS,0.12,0.46,51.25,3.91,607.19,155.30
2018,Enero,Aragon,LECHUGA/ESC./ENDIVIA,0.40,1.14,63.68,2.82,1492.61,530.03
2018,Enero,Aragon,ESPARRAGOS,0.04,0.16,11.71,4.17,208.75,50.02
2018,Enero,Aragon,VERDURAS DE HOJA,0.27,0.46,32.98,1.71,597.62,348.55
2018,Enero,Aragon,BERENJENAS,0.07,0.12,21.06,1.81,155.21,85.81
2018,Enero,Aragon,ZANAHORIAS,0.29,0.24,57.95,0.82,310.82,381.09
2018,Enero,Aragon,CALABACINES,0.35,0.51,51.23,1.45,670.50,461.16
2018,Enero,Aragon,OTR.HORTALIZAS/VERD.,1.32,2.37,81.51,1.80,3116.06,1731.33
2018,Enero,Aragon,BROCOLI,0.26,0.29,36.87,1.12,386.78,346.39
2018,Enero,Aragon,ALCACHOFAS,0.11,0.19,18.23,1.79,252.21,140.93
2018,Enero,Aragon,APIO,,,0.00,,0.00,0.00
2018,Enero,Aragon,COLIFLOR,,,0.00,,0.00,0.00
2018,Enero,Aragon,VERD./HORT. IV GAMA,0.41,1.19,63.62,2.94,1563.43,532.01
2018,Enero,Aragon,PUERRO,,,0.00,,0.00,0.00
2018,Enero,Aragon,T.FRUTAS FRESCAS,7.10,10.39,96.61,1.46,13640.69,9322.81
2018,Enero,Aragon,NARANJAS,1.97,1.84,64.21,0.93,2411.70,2590.25
2018,Enero,Aragon,MANDARINAS,1.36,1.77,75.75,1.30,2329.37,1790.39
2018,Enero,Aragon,LIMONES,0.17,0.27,32.77,1.59,358.19,225.84
2018,Enero,Aragon,PLATANOS,1.09,1.54,80.35,1.42,2022.15,1426.03
2018,Enero,Aragon,MANZANAS,0.84,1.18,64.55,1.40,1543.23,1101.12
2018,Enero,Aragon,PERAS,0.46,0.65,50.42,1.41,855.37,606.73
2018,Enero,Aragon,MELOCOTONES,0.00,0.01,0.20,3.81,19.26,5.05
2018,Enero,Aragon,NECTARINAS,0.00,0.01,0.73,2.44,13.75,5.65
2018,Enero,Aragon,ALBARICOQUES,0.00,0.00,0.34,2.00,1.77,0.88
2018,Enero,Aragon,FRESAS/FRESON,0.20,0.57,36.20,2.87,745.90,259.66
2018,Enero,Aragon,MELON,0.03,0.06,4.00,1.67,72.47,43.48
2018,Enero,Aragon,SANDIA,0.00,0.00,0.19,0.88,3.36,3.81
2018,Enero,Aragon,CIRUELAS,0.01,0.01,1.10,1.42,15.50,10.90
2018,Enero,Aragon,CEREZAS,0.00,0.00,0.00,,0.00,0.00
2018,Enero,Aragon,UVAS,0.08,0.25,16.93,2.98,325.61,109.40
2018,Enero,Aragon,KIWI,0.30,0.86,44.41,2.91,1131.76,389.46
2018,Enero,Aragon,AGUACATE,0.09,0.34,21.35,3.79,449.36,118.68
2018,Enero,Aragon,PIÑA,0.19,0.27,31.13,1.47,357.39,243.10
2018,Enero,Aragon,OTRAS FRUTAS FRESCAS,0.30,0.75,41.19,2.51,984.54,392.38
2018,Enero,Aragon,POMELO,0.02,0.04,6.45,1.51,49.16,32.63
2018,Enero,Aragon,CHIRIMOYA,0.00,0.00,0.00,,0.00,0.00
2018,Enero,Aragon,MANGO,,,0.00,,0.00,0.00
2018,Enero,Aragon,FRUTAS IV GAMA,0.33,0.47,29.59,1.40,613.17,436.71
2018,Enero,Baleares,TOTAL PATATAS,2.54,2.06,84.40,0.81,2120.11,2612.78
2018,Enero,Baleares,PATATAS FRESCAS,1.83,1.36,75.16,0.74,1403.53,1890.23
2018,Enero,Baleares,PATATAS CONGELADAS,0.08,0.11,12.65,1.34,113.89,84.77
2018,Enero,Baleares,PATATAS PROCESADAS,0.12,0.59,44.50,4.72,602.70,127.56
2018,Enero,Baleares,PATATAS FRITAS,,,0.00,,0.00,0.00
2018,Enero,Baleares,T.HORTALIZAS FRESCAS,5.00,9.30,98.34,1.86,9584.95,5149.10
2018,Enero,Baleares,TOMATES,0.94,1.74,83.93,1.86,1796.34,965.86
2018,Enero,Baleares,CEBOLLAS,0.85,0.88,81.61,1.03,905.23,878.00
2018,Enero,Baleares,AJOS,0.04,0.19,28.91,4.63,198.42,42.86
2018,Enero,Baleares,COLES,0.13,0.19,31.48,1.44,193.09,134.19
2018,Enero,Baleares,PEPINOS,0.11,0.20,18.71,1.86,208.50,112.33
