,month,expenses_per_capita,average_price_per_kg_or_l
32,1,0.0,0.15436241610738255
74,1,0.0,0.1968680089485459
118,1,0.0,0.0
162,1,0.014218009478672985,0.36465324384787473
205,1,0.0,0.0
249,1,0.0,0.43847874720357943
293,1,0.0,0.3982102908277405
337,1,0.0,0.37583892617449666
381,1,0.0,0.0
425,1,0.009478672985781991,0.11856823266219241
468,1,0.004739336492890996,0.447427293064877
512,1,0.0,0.0
555,1,0.0,0.0
598,1,0.009478672985781991,0.633109619686801
640,1,0.0,0.0
684,1,0.0,0.0
727,1,0.0,0.0
770,2,0.004739336492890996,0.45861297539149887
814,2,0.014218009478672985,0.11633109619686802
857,2,0.0,0.0
901,2,0.004739336492890996,0.44519015659955263
944,2,0.0,0.0
988,2,0.004739336492890996,0.39597315436241615
1031,2,0.004739336492890996,0.16107382550335572
1075,2,0.009478672985781991,1.0
1119,2,0.0,0.3870246085011186
1162,2,0.004739336492890996,0.4138702460850112
1205,2,0.009478672985781991,0.5413870246085012
1248,2,0.0,0.0
1291,2,0.0,0.0
1335,2,0.0,0.0
1378,2,0.0,0.0
1421,2,0.0,0.0
1465,2,0.0,0.08948545861297541
1508,3,0.07582938388625593,0.4519015659955258
1550,3,0.06161137440758294,0.4720357941834452
1592,3,0.05213270142180095,0.3780760626398211
1635,3,0.042654028436018954,0.4026845637583893
1677,3,0.037914691943127965,0.28859060402684567
1720,3,0.03317535545023697,0.41163310961968685
1764,3,0.03317535545023697,0.3847874720357942
1807,3,0.014218009478672985,0.2818791946308725
1850,3,0.004739336492890996,0.35794183445190164
1893,3,0.02843601895734597,0.36241610738255037
1935,3,0.02843601895734597,0.4049217002237137
1978,3,0.023696682464454978,0.3847874720357942
2022,3,0.018957345971563982,0.3870246085011186
2064,3,0.023696682464454978,0.47427293064876963
2106,3,0.004739336492890996,0.3557046979865772
2149,3,0.004739336492890996,0.5324384787472036
2192,3,0.014218009478672985,0.4966442953020135
2235,4,0.17061611374407581,0.42505592841163314
2279,4,0.10900473933649289,0.4295302013422819
2322,4,0.14218009478672985,0.3668903803131991
2366,4,0.15165876777251186,0.4228187919463087
2410,4,0.13744075829383887,0.4026845637583893
2454,4,0.11374407582938388,0.3131991051454139
2498,4,0.1042654028436019,0.3713646532438479
2542,4,0.06635071090047394,0.389261744966443
2585,4,0.042654028436018954,0.39149888143176736
2628,4,0.06635071090047394,0.3780760626398211
2671,4,0.08530805687203791,0.35346756152125286
2713,4,0.07582938388625593,0.3713646532438479
2756,4,0.05687203791469194,0.2662192393736018
2799,4,0.08056872037914693,0.43400447427293065
2842,4,0.05213270142180095,0.4071588366890381
2885,4,0.05687203791469194,0.42505592841163314
2928,4,0.018957345971563982,0.5570469798657719
2971,5,0.47393364928909953,0.3288590604026846
3014,5,0.5687203791469194,0.3064876957494408
3057,5,0.33175355450236965,0.2751677852348994
3100,5,0.4075829383886256,0.2953020134228188
3144,5,0.4075829383886256,0.2908277404921701
3187,5,0.38862559241706157,0.2751677852348994
3231,5,0.38388625592417064,0.2706935123042506
3275,5,0.4312796208530806,0.28859060402684567
3318,5,0.32701421800947866,0.2684563758389262
3361,5,0.4218009478672986,0.29306487695749445
3405,5,0.2890995260663507,0.3131991051454139
3449,5,0.18483412322274884,0.3109619686800895
3493,5,0.2085308056872038,0.2639821029082774
3535,5,0.3459715639810427,0.3109619686800895
3578,5,0.2085308056872038,0.35346756152125286
3620,5,0.2701421800947867,0.3064876957494408
3663,5,0.22274881516587677,0.3087248322147651
3705,6,0.8009478672985781,0.23042505592841167
3748,6,0.7061611374407583,0.21476510067114096
3792,6,0.6872037914691943,0.21923937360178972
3835,6,0.7914691943127962,0.20357941834451904
3878,6,0.6872037914691943,0.20134228187919465
3921,6,0.7393364928909953,0.19910514541387025
3965,6,0.6208530805687205,0.20357941834451904
4008,6,0.8909952606635071,0.1946308724832215
4051,6,0.6777251184834123,0.20581655480984343
4094,6,0.5687203791469194,0.1923937360178971
4137,6,0.3459715639810427,0.21252796420581657
4180,6,0.3696682464454977,0.21923937360178972
4223,6,0.37440758293838866,0.1968680089485459
4266,6,0.5545023696682464,0.20357941834451904
4309,6,0.4786729857819905,0.20134228187919465
4351,6,0.5924170616113744,0.2259507829977629
4395,6,0.5118483412322276,0.21700223713646533
4438,7,0.7630331753554503,0.17449664429530204
4481,7,0.7725118483412322,0.15883668903803133
4524,7,0.7156398104265403,0.17002237136465326
4567,7,0.8293838862559242,0.1521252796420582
4610,7,0.5260663507109006,0.14541387024608504
4653,7,0.6777251184834123,0.14541387024608504
4697,7,0.6208530805687205,0.15659955257270694
4740,7,0.8293838862559242,0.14541387024608504
4784,7,0.6635071090047393,0.13646532438478748
4827,7,0.6492890995260664,0.1498881431767338
4870,7,0.44549763033175355,0.15883668903803133
4913,7,0.4218009478672986,0.17225950782997765
4956,7,0.35071090047393366,0.15883668903803133
4998,7,0.47393364928909953,0.15436241610738255
5041,7,0.6872037914691943,0.16554809843400448
5084,7,0.7440758293838863,0.15883668903803133
5126,7,0.46919431279620855,0.17225950782997765
5169,8,0.7203791469194313,0.15883668903803133
5211,8,0.43601895734597157,0.15659955257270694
5253,8,0.6824644549763033,0.12751677852348994
5296,8,0.6777251184834123,0.1342281879194631
5338,8,0.5639810426540284,0.15659955257270694
5381,8,0.5402843601895734,0.13870246085011187
5424,8,0.47393364928909953,0.1476510067114094
5467,8,0.95260663507109,0.15659955257270694
5508,8,0.38862559241706157,0.1297539149888143
5551,8,0.5971563981042655,0.13870246085011187
5593,8,0.5497630331753555,0.16554809843400448
5636,8,0.49289099526066354,0.15659955257270694
5679,8,0.3933649289099526,0.14093959731543626
5722,8,0.5213270142180095,0.14317673378076065
5764,8,0.3696682464454977,0.13870246085011187
5806,8,0.8341232227488152,0.13870246085011187
5849,8,0.41232227488151657,0.16778523489932887
5892,9,0.4407582938388626,0.14541387024608504
5935,9,0.4218009478672986,0.14317673378076065
5978,9,0.33649289099526064,0.1319910514541387
6022,9,0.4407582938388626,0.1319910514541387
6065,9,0.33649289099526064,0.1342281879194631
6108,9,0.37440758293838866,0.1342281879194631
6151,9,0.41232227488151657,0.14317673378076065
6194,9,0.4218009478672986,0.1297539149888143
6237,9,0.33649289099526064,0.11856823266219241
6280,9,0.3175355450236967,0.1342281879194631
6322,9,0.24170616113744076,0.15659955257270694
6365,9,0.3033175355450237,0.1521252796420582
6407,9,0.15639810426540285,0.1498881431767338
6450,9,0.2938388625592417,0.13870246085011187
6491,9,0.35545023696682465,0.14541387024608504
6534,9,0.3080568720379147,0.1319910514541387
6576,9,0.3933649289099526,0.18120805369127518
6619,10,0.07582938388625593,0.19015659955257272
6661,10,0.15165876777251186,0.23489932885906042
6702,10,0.047393364928909956,0.18344519015659955
6745,10,0.09478672985781991,0.18568232662192394
6788,10,0.09004739336492891,0.19910514541387025
6831,10,0.12322274881516589,0.15659955257270694
6874,10,0.0995260663507109,0.17002237136465326
6916,10,0.1990521327014218,0.14317673378076065
6957,10,0.11374407582938388,0.12751677852348994
6999,10,0.06635071090047394,0.1521252796420582
7041,10,0.16113744075829387,0.18568232662192394
7082,10,0.11374407582938388,0.243847874720358
7124,10,0.08056872037914693,0.11633109619686802
7166,10,0.08530805687203791,0.17897091722595082
7209,10,0.023696682464454978,0.1208053691275168
7251,10,0.08056872037914693,0.1633109619686801
7293,10,0.23696682464454977,0.2259507829977629
7334,11,0.014218009478672985,0.2550335570469799
7375,11,0.004739336492890996,0.2259507829977629
7417,11,0.004739336492890996,0.17673378076062643
7458,11,0.014218009478672985,0.36465324384787473
7500,11,0.014218009478672985,0.46979865771812085
7543,11,0.004739336492890996,0.2259507829977629
7585,11,0.014218009478672985,0.20357941834451904
7628,11,0.009478672985781991,0.3087248322147651
7668,11,0.004739336492890996,0.11856823266219241
7709,11,0.2511848341232228,0.33109619686800895
7749,11,0.014218009478672985,0.35346756152125286
7791,11,0.004739336492890996,0.20357941834451904
7830,11,0.0,0.0
7870,11,0.009478672985781991,0.4429530201342282
7910,11,0.004739336492890996,0.4429530201342282
7951,11,0.0,0.0
7994,11,0.05213270142180095,0.29753914988814323
8035,12,0.0,0.2237136465324385
8075,12,0.014218009478672985,0.46756152125279643
8115,12,0.0,0.0
8157,12,0.014218009478672985,0.4899328859060403
8197,12,0.014218009478672985,0.6599552572706936
8239,12,0.0,0.46532438478747207
8280,12,0.0,0.33557046979865773
8321,12,0.0,0.0
8362,12,0.0,0.11185682326621925
8404,12,0.0,0.28859060402684567
8446,12,0.0,0.0
8488,12,0.023696682464454978,0.5816554809843402
8530,12,0.0,0.0
8571,12,0.0,0.5570469798657719
8612,12,0.018957345971563982,0.8836689038031321
8655,12,0.0,0.0
8697,12,0.009478672985781991,0.3736017897091723
8738,1,0.0,0.3847874720357942
8779,1,0.0,0.7986577181208054
8818,1,0.004739336492890996,0.7270693512304252
8861,1,0.023696682464454978,0.21923937360178972
8901,1,0.0,0.0
8942,1,0.0,0.44519015659955263
8985,1,0.0,0.7986577181208054
9026,1,0.0,0.0
9068,1,0.0,0.0
9110,1,0.0,0.3557046979865772
9151,1,0.004739336492890996,0.27740492170022374
9192,1,0.0,0.0
9233,1,0.0,0.0
9274,1,0.004739336492890996,0.592841163310962
9314,1,0.0,0.0
9356,1,0.0,0.0
9396,1,0.004739336492890996,0.36241610738255037
9437,2,0.004739336492890996,0.4071588366890381
9478,2,0.0,0.0
9520,2,0.0,0.0
9563,2,0.0,0.3691275167785235
9603,2,0.042654028436018954,0.447427293064877
9686,2,0.0,0.3557046979865772
9728,2,0.014218009478672985,0.35346756152125286
9769,2,0.009478672985781991,0.6890380313199106
9812,2,0.0,0.0
9854,2,0.004739336492890996,0.35346756152125286
9896,2,0.004739336492890996,0.4228187919463087
9938,2,0.0,0.0
9981,2,0.014218009478672985,0.35346756152125286
10023,2,0.0,0.0
10064,2,0.0,0.0
10106,2,0.0,0.0
10148,3,0.05213270142180095,0.4519015659955258
10189,3,0.07109004739336493,0.34675615212527966
10230,3,0.037914691943127965,0.37583892617449666
10272,3,0.07582938388625593,0.3713646532438479
10312,3,0.08056872037914693,0.3825503355704698
10354,3,0.037914691943127965,0.34675615212527966
10395,3,0.042654028436018954,0.36465324384787473
10437,3,0.018957345971563982,0.4295302013422819
10480,3,0.02843601895734597,0.37583892617449666
10523,3,0.037914691943127965,0.3042505592841164
10564,3,0.02843601895734597,0.38031319910514544
10607,3,0.07109004739336493,0.3982102908277405
10650,3,0.042654028436018954,0.3668903803131991
10692,3,0.023696682464454978,0.5973154362416108
10733,3,0.018957345971563982,0.36465324384787473
10773,3,0.09478672985781991,0.35794183445190164
10814,3,0.0,0.0
10856,4,0.16113744075829387,0.34228187919463093
10898,4,0.13270142180094788,0.3668903803131991
10940,4,0.047393364928909956,0.3736017897091723
10982,4,0.14691943127962084,0.3736017897091723
11023,4,0.2132701421800948,0.3557046979865772
11066,4,0.09004739336492891,0.31767337807606266
11109,4,0.10900473933649289,0.32214765100671144
11152,4,0.14691943127962084,0.3713646532438479
11194,4,0.07109004739336493,0.4519015659955258
11237,4,0.11848341232227488,0.319910514541387
11279,4,0.06635071090047394,0.33557046979865773
11321,4,0.1042654028436019,0.38031319910514544
11362,4,0.07109004739336493,0.3243847874720358
11404,4,0.06635071090047394,0.44071588366890385
11445,4,0.09004739336492891,0.3736017897091723
11486,4,0.05687203791469194,0.3064876957494408
11529,4,0.05213270142180095,0.3557046979865772
11571,5,0.47393364928909953,0.25055928411633116
11613,5,0.48815165876777256,0.2393736017897092
11656,5,0.35545023696682465,0.23713646532438482
11698,5,0.48815165876777256,0.21923937360178972
11739,5,0.5450236966824644,0.1946308724832215
11781,5,0.49289099526066354,0.21252796420581657
11824,5,0.4312796208530806,0.21029082774049218
11866,5,0.5971563981042655,0.20805369127516782
11909,5,0.3981042654028436,0.21029082774049218
11952,5,0.4075829383886256,0.21923937360178972
11994,5,0.2796208530805687,0.22818791946308728
12036,5,0.29857819905213273,0.21923937360178972
12079,5,0.14691943127962084,0.23266219239373603
12121,5,0.2796208530805687,0.21923937360178972
12163,5,0.23222748815165878,0.22818791946308728
12205,5,0.21800947867298578,0.21700223713646533
12247,5,0.32227488151658773,0.23042505592841167
12289,6,0.7440758293838863,0.21252796420581657
12331,6,0.7630331753554503,0.1968680089485459
12373,6,0.5876777251184834,0.18568232662192394
12415,6,0.8767772511848342,0.1946308724832215
12457,6,0.5971563981042655,0.18568232662192394
12499,6,0.7630331753554503,0.18568232662192394
12542,6,0.8009478672985781,0.1923937360178971
12585,6,0.933649289099526,0.18344519015659955
12629,6,0.8672985781990522,0.18568232662192394
12671,6,0.7440758293838863,0.19015659955257272
12712,6,0.34123222748815163,0.20134228187919465
12754,6,0.4834123222748815,0.20805369127516782
12796,6,0.6445497630331755,0.1923937360178971
12838,6,0.5876777251184834,0.19910514541387025
12881,6,0.36018957345971564,0.18568232662192394
12922,6,0.45023696682464454,0.18344519015659955
12963,6,0.6777251184834123,0.20134228187919465
13004,7,0.933649289099526,0.18568232662192394
