,year,month,expenses_per_capita,average_price_per_kg_or_l
90,2018,1,0.0,0.69
141,2018,1,0.0,0.88
192,2018,1,0.0,0.0
243,2018,1,0.03,1.63
294,2018,1,0.0,0.0
345,2018,1,0.0,1.96
396,2018,1,0.0,1.78
447,2018,1,0.0,1.68
498,2018,1,0.0,0.0
549,2018,1,0.02,0.53
600,2018,1,0.01,2.0
651,2018,1,0.0,0.0
702,2018,1,0.0,0.0
753,2018,1,0.02,2.83
804,2018,1,0.0,0.0
855,2018,1,0.0,0.0
906,2018,1,0.0,0.0
1008,2018,2,0.01,2.05
1059,2018,2,0.03,0.52
1110,2018,2,0.0,0.0
1161,2018,2,0.01,1.99
1212,2018,2,0.0,0.0
1263,2018,2,0.01,1.77
1314,2018,2,0.01,0.72
1365,2018,2,0.02,4.47
1416,2018,2,0.0,1.73
1467,2018,2,0.01,1.85
1518,2018,2,0.02,2.42
1569,2018,2,0.0,0.0
1620,2018,2,0.0,0.0
1671,2018,2,0.0,0.0
1722,2018,2,0.0,0.0
1773,2018,2,0.0,0.0
1824,2018,2,0.0,0.4
1926,2018,3,0.16,2.02
1977,2018,3,0.13,2.11
2028,2018,3,0.11,1.69
2079,2018,3,0.09,1.8
2130,2018,3,0.08,1.29
2181,2018,3,0.07,1.84
2232,2018,3,0.07,1.72
2283,2018,3,0.03,1.26
2334,2018,3,0.01,1.6
2385,2018,3,0.06,1.62
2436,2018,3,0.06,1.81
2487,2018,3,0.05,1.72
2538,2018,3,0.04,1.73
2589,2018,3,0.05,2.12
2640,2018,3,0.01,1.59
2691,2018,3,0.01,2.38
2742,2018,3,0.03,2.22
2844,2018,4,0.36,1.9
2895,2018,4,0.23,1.92
2946,2018,4,0.3,1.64
2997,2018,4,0.32,1.89
3048,2018,4,0.29,1.8
3099,2018,4,0.24,1.4
3150,2018,4,0.22,1.66
3201,2018,4,0.14,1.74
3252,2018,4,0.09,1.75
3303,2018,4,0.14,1.69
3354,2018,4,0.18,1.58
3405,2018,4,0.16,1.66
3456,2018,4,0.12,1.19
3507,2018,4,0.17,1.94
3558,2018,4,0.11,1.82
3609,2018,4,0.12,1.9
3660,2018,4,0.04,2.49
3762,2018,5,1.0,1.47
3813,2018,5,1.2,1.37
3864,2018,5,0.7,1.23
3915,2018,5,0.86,1.32
3966,2018,5,0.86,1.3
4017,2018,5,0.82,1.23
4068,2018,5,0.81,1.21
4119,2018,5,0.91,1.29
4170,2018,5,0.69,1.2
4221,2018,5,0.89,1.31
4272,2018,5,0.61,1.4
4323,2018,5,0.39,1.39
4374,2018,5,0.44,1.18
4425,2018,5,0.73,1.39
4476,2018,5,0.44,1.58
4527,2018,5,0.57,1.37
4578,2018,5,0.47,1.38
4680,2018,6,1.69,1.03
4731,2018,6,1.49,0.96
4782,2018,6,1.45,0.98
4833,2018,6,1.67,0.91
4884,2018,6,1.45,0.9
4935,2018,6,1.56,0.89
4986,2018,6,1.31,0.91
5037,2018,6,1.88,0.87
5088,2018,6,1.43,0.92
5139,2018,6,1.2,0.86
5190,2018,6,0.73,0.95
5241,2018,6,0.78,0.98
5292,2018,6,0.79,0.88
5343,2018,6,1.17,0.91
5394,2018,6,1.01,0.9
5445,2018,6,1.25,1.01
5496,2018,6,1.08,0.97
5598,2018,7,1.61,0.78
5649,2018,7,1.63,0.71
5700,2018,7,1.51,0.76
5751,2018,7,1.75,0.68
5802,2018,7,1.11,0.65
5853,2018,7,1.43,0.65
5904,2018,7,1.31,0.7
5955,2018,7,1.75,0.65
6006,2018,7,1.4,0.61
6057,2018,7,1.37,0.67
6108,2018,7,0.94,0.71
6159,2018,7,0.89,0.77
6210,2018,7,0.74,0.71
6261,2018,7,1.0,0.69
6312,2018,7,1.45,0.74
6363,2018,7,1.57,0.71
6414,2018,7,0.99,0.77
6516,2018,8,1.52,0.71
6567,2018,8,0.92,0.7
6618,2018,8,1.44,0.57
6669,2018,8,1.43,0.6
6720,2018,8,1.19,0.7
6771,2018,8,1.14,0.62
6822,2018,8,1.0,0.66
6873,2018,8,2.01,0.7
6924,2018,8,0.82,0.58
6975,2018,8,1.26,0.62
7026,2018,8,1.16,0.74
7077,2018,8,1.04,0.7
7128,2018,8,0.83,0.63
7179,2018,8,1.1,0.64
7230,2018,8,0.78,0.62
7281,2018,8,1.76,0.62
7332,2018,8,0.87,0.75
7434,2018,9,0.93,0.65
7485,2018,9,0.89,0.64
7536,2018,9,0.71,0.59
7587,2018,9,0.93,0.59
7638,2018,9,0.71,0.6
7689,2018,9,0.79,0.6
7740,2018,9,0.87,0.64
7791,2018,9,0.89,0.58
7842,2018,9,0.71,0.53
7893,2018,9,0.67,0.6
7944,2018,9,0.51,0.7
7995,2018,9,0.64,0.68
8046,2018,9,0.33,0.67
8097,2018,9,0.62,0.62
8148,2018,9,0.75,0.65
8199,2018,9,0.65,0.59
8250,2018,9,0.83,0.81
8352,2018,10,0.16,0.85
8403,2018,10,0.32,1.05
8454,2018,10,0.1,0.82
8505,2018,10,0.2,0.83
8556,2018,10,0.19,0.89
8607,2018,10,0.26,0.7
8658,2018,10,0.21,0.76
8709,2018,10,0.42,0.64
8760,2018,10,0.24,0.57
8811,2018,10,0.14,0.68
8862,2018,10,0.34,0.83
8913,2018,10,0.24,1.09
8964,2018,10,0.17,0.52
9015,2018,10,0.18,0.8
9066,2018,10,0.05,0.54
9117,2018,10,0.17,0.73
9168,2018,10,0.5,1.01
9270,2018,11,0.03,1.14
9321,2018,11,0.01,1.01
9372,2018,11,0.01,0.79
9423,2018,11,0.03,1.63
9474,2018,11,0.03,2.1
9525,2018,11,0.01,1.01
9576,2018,11,0.03,0.91
9627,2018,11,0.02,1.38
9678,2018,11,0.01,0.53
9729,2018,11,0.53,1.48
9780,2018,11,0.03,1.58
9831,2018,11,0.01,0.91
9882,2018,11,0.0,0.0
9933,2018,11,0.02,1.98
9984,2018,11,0.01,1.98
10035,2018,11,0.0,0.0
10086,2018,11,0.11,1.33
10188,2018,12,0.0,1.0
10239,2018,12,0.03,2.09
10290,2018,12,0.0,0.0
10341,2018,12,0.03,2.19
10392,2018,12,0.03,2.95
10443,2018,12,0.0,2.08
10494,2018,12,0.0,1.5
10545,2018,12,0.0,0.0
10596,2018,12,0.0,0.5
10647,2018,12,0.0,1.29
10698,2018,12,0.0,0.0
10749,2018,12,0.05,2.6
10800,2018,12,0.0,0.0
10851,2018,12,0.0,2.49
10902,2018,12,0.04,3.95
10953,2018,12,0.0,0.0
11004,2018,12,0.02,1.67
11106,2019,1,0.0,1.72
11157,2019,1,0.0,3.57
11208,2019,1,0.01,3.25
11259,2019,1,0.05,0.98
11310,2019,1,0.0,0.0
11361,2019,1,0.0,1.99
11412,2019,1,0.0,3.57
11463,2019,1,0.0,0.0
11514,2019,1,0.0,0.0
