,month,expenses_per_capita,average_price_per_kg_or_l,cummulative_cases_for_100k
31,1,0.0,0.22857142857142856,0.0
72,1,0.006289308176100628,0.3040816326530612,0.0
114,1,0.006289308176100628,0.3040816326530612,0.0
156,1,0.0,0.0,0.0
197,1,0.0,0.0,0.0
239,1,0.0,0.0,0.0
281,1,0.0,0.0,0.0
321,1,0.0,0.0,0.0
362,1,0.0,0.0,0.0
405,1,0.0,0.0,0.0
447,1,0.0,0.0,0.0
490,1,0.0,0.0,0.0
532,1,0.0,0.0,0.0
574,1,0.0,0.0,0.0
616,1,0.009433962264150943,0.3040816326530612,0.0
657,1,0.0,0.0,0.0
699,1,0.0,0.0,0.0
741,2,0.015723270440251572,0.32448979591836735,0.0015202925760685617
782,2,0.006289308176100628,0.40204081632653055,0.0015202925760685617
823,2,0.003144654088050314,0.3530612244897959,0.0015202925760685617
865,2,0.003144654088050314,0.16122448979591836,0.0015202925760685617
905,2,0.003144654088050314,0.3530612244897959,0.0015202925760685617
947,2,0.003144654088050314,0.31632653061224486,0.0015202925760685617
990,2,0.003144654088050314,0.3959183673469387,0.0015202925760685617
1031,2,0.003144654088050314,0.30204081632653057,0.0015202925760685617
1073,2,0.003144654088050314,0.25102040816326526,0.0015202925760685617
1115,2,0.003144654088050314,0.33265306122448973,0.0015202925760685617
1158,2,0.0,0.173469387755102,0.0015202925760685617
1201,2,0.003144654088050314,0.34489795918367344,0.0015202925760685617
1242,2,0.006289308176100628,0.39999999999999997,0.0015202925760685617
1283,2,0.003144654088050314,0.29795918367346935,0.0015202925760685617
1323,2,0.009433962264150943,0.3530612244897959,0.0015202925760685617
1364,2,0.003144654088050314,0.3530612244897959,0.0015202925760685617
1405,2,0.0,0.37755102040816324,0.0015202925760685617
1448,3,0.018867924528301886,0.3040816326530612,0.11315600861802834
1489,3,0.03773584905660377,0.3530612244897959,0.11315600861802834
1531,3,0.022012578616352203,0.33673469387755095,0.11315600861802834
1573,3,0.05345911949685535,0.33265306122448973,0.11315600861802834
1615,3,0.015723270440251572,0.34489795918367344,0.11315600861802834
1658,3,0.018867924528301886,0.33265306122448973,0.11315600861802834
1699,3,0.018867924528301886,0.24489795918367344,0.11315600861802834
1742,3,0.009433962264150943,0.3530612244897959,0.11315600861802834
1784,3,0.025157232704402514,0.3061224489795918,0.11315600861802834
1826,3,0.022012578616352203,0.33673469387755095,0.11315600861802834
1868,3,0.018867924528301886,0.3897959183673469,0.11315600861802834
1911,3,0.018867924528301886,0.36734693877551017,0.11315600861802834
1953,3,0.025157232704402514,0.4632653061224489,0.11315600861802834
1995,3,0.009433962264150943,0.4836734693877551,0.11315600861802834
2037,3,0.009433962264150943,0.5714285714285713,0.11315600861802834
2077,3,0.03459119496855346,0.2571428571428571,0.11315600861802834
2118,3,0.003144654088050314,0.2714285714285714,0.11315600861802834
2159,4,0.07861635220125786,0.2551020408163265,0.19792581157379235
2201,4,0.09748427672955974,0.2571428571428571,0.19792581157379235
2243,4,0.07232704402515723,0.23673469387755097,0.19792581157379235
2285,4,0.06918238993710692,0.28571428571428564,0.19792581157379235
2325,4,0.07232704402515723,0.24285714285714283,0.19792581157379235
2367,4,0.08490566037735849,0.26122448979591834,0.19792581157379235
2409,4,0.059748427672955975,0.2673469387755102,0.19792581157379235
2451,4,0.0660377358490566,0.27959183673469384,0.19792581157379235
2493,4,0.08490566037735849,0.30204081632653057,0.19792581157379235
2535,4,0.08490566037735849,0.32857142857142857,0.19792581157379235
2577,4,0.07232704402515723,0.27346938775510204,0.19792581157379235
2618,4,0.025157232704402514,0.43061224489795913,0.19792581157379235
2660,4,0.028301886792452827,0.310204081632653,0.19792581157379235
2701,4,0.07547169811320754,0.35918367346938773,0.19792581157379235
