,month,expenses_per_capita,average_price_per_kg_or_l,cummulative_cases_for_100k
31,1,0.0,1.12,0.007234253814863868
72,1,0.02,1.49,0.007234253814863868
114,1,0.02,1.49,0.007234253814863868
156,1,0.0,0.0,0.007234253814863868
197,1,0.0,0.0,0.007234253814863868
239,1,0.0,0.0,0.007234253814863868
281,1,0.0,0.0,0.007234253814863868
321,1,0.0,0.0,0.007234253814863868
362,1,0.0,0.0,0.007234253814863868
405,1,0.0,0.0,0.007234253814863868
447,1,0.0,0.0,0.007234253814863868
490,1,0.0,0.0,0.007234253814863868
532,1,0.0,0.0,0.007234253814863868
574,1,0.0,0.0,0.007234253814863868
616,1,0.03,1.49,0.007234253814863868
657,1,0.0,0.0,0.007234253814863868
699,1,0.0,0.0,0.007234253814863868
741,2,0.05,1.59,0.3221088692511484
782,2,0.02,1.97,0.3221088692511484
823,2,0.01,1.73,0.3221088692511484
865,2,0.01,0.79,0.3221088692511484
905,2,0.01,1.73,0.3221088692511484
947,2,0.01,1.55,0.3221088692511484
990,2,0.01,1.94,0.3221088692511484
1031,2,0.01,1.48,0.3221088692511484
1073,2,0.01,1.23,0.3221088692511484
1115,2,0.01,1.63,0.3221088692511484
1158,2,0.0,0.85,0.3221088692511484
1201,2,0.01,1.69,0.3221088692511484
1242,2,0.02,1.96,0.3221088692511484
1283,2,0.01,1.46,0.3221088692511484
1323,2,0.03,1.73,0.3221088692511484
1364,2,0.01,1.73,0.3221088692511484
1405,2,0.0,1.85,0.3221088692511484
1448,3,0.06,1.49,23.44348281463119
1489,3,0.12,1.73,23.44348281463119
1531,3,0.07,1.65,23.44348281463119
1573,3,0.17,1.63,23.44348281463119
1615,3,0.05,1.69,23.44348281463119
1658,3,0.06,1.63,23.44348281463119
1699,3,0.06,1.2,23.44348281463119
1742,3,0.03,1.73,23.44348281463119
1784,3,0.08,1.5,23.44348281463119
1826,3,0.07,1.65,23.44348281463119
1868,3,0.06,1.91,23.44348281463119
1911,3,0.06,1.8,23.44348281463119
1953,3,0.08,2.27,23.44348281463119
1995,3,0.03,2.37,23.44348281463119
2037,3,0.03,2.8,23.44348281463119
2077,3,0.11,1.26,23.44348281463119
2118,3,0.01,1.33,23.44348281463119
2159,4,0.25,1.25,41.00053698069854
2201,4,0.31,1.26,41.00053698069854
2243,4,0.23,1.16,41.00053698069854
2285,4,0.22,1.4,41.00053698069854
2325,4,0.23,1.19,41.00053698069854
2367,4,0.27,1.28,41.00053698069854
2409,4,0.19,1.31,41.00053698069854
2451,4,0.21,1.37,41.00053698069854
2493,4,0.27,1.48,41.00053698069854
2535,4,0.27,1.61,41.00053698069854
2577,4,0.23,1.34,41.00053698069854
2618,4,0.08,2.11,41.00053698069854
2660,4,0.09,1.52,41.00053698069854
2701,4,0.24,1.76,41.00053698069854
2742,4,0.12,1.87,41.00053698069854
2782,4,0.14,1.55,41.00053698069854
2823,4,0.13,1.11,41.00053698069854
2864,5,1.65,1.45,46.53782535496875
2904,5,1.71,1.33,46.53782535496875
2946,5,1.2,1.24,46.53782535496875
2988,5,1.57,1.44,46.53782535496875
3030,5,1.6,1.25,46.53782535496875
3072,5,1.47,1.22,46.53782535496875
3113,5,1.49,1.34,46.53782535496875
3154,5,1.98,1.25,46.53782535496875
3196,5,1.71,1.25,46.53782535496875
